SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.Rd_corefifo_NstagesSync.shift_reg[5:0],tr_fifo_rmii|write_clock,tr_fifo_rmii|read_clock,i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.genblk10\.rptr_gray[5:0],Different Clock Domains,YES,2,YES,Safe CDC path detected.
2,i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.Wr_corefifo_NstagesSync.shift_reg[5:0],tr_fifo_rmii|read_clock,tr_fifo_rmii|write_clock,i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.genblk10\.wptr_gray[5:0],Different Clock Domains,YES,2,YES,Safe CDC path detected.
