SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,rx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.Rd_corefifo_NstagesSync.shift_reg[5:0],phy_ctrl_rmii|phy_rx_clk,phy_ctrl_rmii|sysclk,rx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.genblk10\.rptr_gray[5:0],Different Clock Domains,YES,2,YES,Safe CDC path detected.
2,rx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.Wr_corefifo_NstagesSync.shift_reg[5:0],phy_ctrl_rmii|sysclk,phy_ctrl_rmii|phy_rx_clk,rx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.genblk10\.wptr_gray[5:0],Different Clock Domains,YES,2,YES,Safe CDC path detected.
3,tx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.Rd_corefifo_NstagesSync.shift_reg[5:0],phy_ctrl_rmii|sysclk,phy_ctrl_rmii|phy_tx_clk,tx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.genblk10\.rptr_gray[5:0],Different Clock Domains,YES,2,YES,Safe CDC path detected.
4,tx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.Wr_corefifo_NstagesSync.shift_reg[5:0],phy_ctrl_rmii|phy_tx_clk,phy_ctrl_rmii|sysclk,tx_fifo.i_mezz_fifo.afifo_4x32_0.genblk16\.U_corefifo_async.genblk10\.wptr_gray[5:0],Different Clock Domains,YES,2,YES,Safe CDC path detected.
