Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work , Entity: serial_eeprom_if_v2 Architecture: rtl,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   140 MB,    16 MB,     0 MB,    11 MB,     5 MB
