Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),LSRAM (20K),Chip Globals
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_65/MSC_i_66/Primitives,8,15,0,0,0,0,0,0
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_65/Primitives,397,114,0,0,0,0,0,0
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_68/MSC_i_69/Primitives,1,0,72,72,0,0,2,0
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_68/MSC_i_70/Primitives,1,0,72,72,0,0,2,0
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_68/Primitives,1189,336,0,0,0,0,0,0
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_71/Primitives,81,47,0,0,0,0,0,1
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_71/lIil_0_lIil_0_0_0/Primitives,0,0,12,12,0,1,0,0
u_can_if/CAN4_inst/uut/MSC_i_18/MSC_i_71/lIil_0_lIil_0_0_1/Primitives,0,0,12,12,0,1,0,0
u_can_if/CAN4_inst/uut/MSC_i_18/O01/Primitives,160,28,0,0,0,0,0,0
u_clkgen/Primitives,61,80,0,0,0,0,0,0
u_clkgen/pulse2khz_div/Primitives,43,17,0,0,0,0,0,1
u_cmd_server/cmn_uart_inst/Primitives,69,50,0,0,0,0,0,0
u_cmd_server/msg_buffer_inst/Primitives,1,1,0,0,0,0,0,0
u_cmd_server/msg_buffer_inst/rx_fifo_inst/Primitives,30,40,0,0,0,0,0,0
u_cmd_server/msg_buffer_inst/rx_fifo_inst/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0
u_cmd_server/msg_buffer_inst/tx_fifo_inst/Primitives,24,40,0,0,0,0,0,0
u_cmd_server/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0
u_cmd_server/opb_emu_target_inst/Primitives,23,9,0,0,0,0,0,0
u_cmd_server/opb_emu_target_inst/clkgen_1hz/Primitives,23,17,0,0,0,0,0,0
u_cmd_server/opb_emu_target_inst/msg_read_inst/Primitives,130,97,0,0,0,0,0,0
u_cmd_server/opb_emu_target_inst/msg_write_inst/Primitives,286,94,0,0,0,0,0,0
u_dac/Primitives,67,56,0,0,0,0,0,0
u_dac/data_in_ram/ram_ram_0_0/Primitives,0,0,12,12,0,1,0,0
u_dac/data_in_ram/ram_ram_0_1/Primitives,0,0,12,12,0,1,0,0
u_dac/opb_fifo_inst/Primitives,39,40,0,0,0,0,0,0
u_dac/opb_fifo_inst/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0
u_dac/opb_fifo_inst/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0
u_dac/sclk/Primitives,24,17,0,0,0,0,0,1
u_gpio/Primitives,107,177,0,0,0,0,0,0
u_rs422/Primitives,1776,1012,0,0,0,0,0,0
u_rs422/RS422_TX/Primitives,36,29,0,0,0,0,0,0
u_rs422/uart_gen[0].RS422_U/Primitives,38,32,0,0,0,0,0,0
u_rs422/uart_gen[1].RS422_U/Primitives,38,32,0,0,0,0,0,0
u_rs422/uart_gen[2].RS422_U/Primitives,40,32,0,0,0,0,0,0
u_rs422/uart_gen[3].RS422_U/Primitives,38,32,0,0,0,0,0,0
u_rs422/uart_gen[4].RS422_U/Primitives,38,32,0,0,0,0,0,0
u_rs422/uart_gen[5].RS422_U/Primitives,39,32,0,0,0,0,0,0
u_rs422/uart_gen[6].RS422_U/Primitives,38,32,0,0,0,0,0,0
u_rs422/uart_gen[7].RS422_U/Primitives,39,32,0,0,0,0,0,0
u_rs422/uart_gen[8].RS422_U/Primitives,38,32,0,0,0,0,0,0
